	SBS1	SBS2	SBS5	SBS6
Sample1	0.05897918901347919	0.07465595798806306	0.8243882909416652	0.041976562056792455
Sample2	0.06581469008038782	0.07134535967051076	0.8568705083367991	0.005969441912302351
Sample3	0.11729219328313317	0.05480295851814198	0.8006709619998451	0.027233886198879738
Sample4	0.0958695920634275	0.07624412215184947	0.827886285784723	0.0
Sample5	0.10317818630837725	0.08320654799400408	0.8006053923965829	0.013009873301035655
Sample6	0.08789525167923407	0.06767039347148684	0.8110359598683243	0.03339839498095475
Sample7	0.09927651317546479	0.07581064082710046	0.805989262485895	0.018923583511539745
Sample8	0.11717462081664162	0.06163421792766588	0.818496052398467	0.002695108857225539
Sample9	0.059766377840224996	0.09604562301064257	0.814787986137849	0.029400013011283498
Sample10	0.06221297635096643	0.09323101556292968	0.8121990009162061	0.032357007169897756
Sample11	0.08468107255529375	0.07133686291797851	0.8156800370131393	0.028302027513588415
Sample12	0.05708438464974612	0.08344467998839963	0.8571258959556096	0.0023450394062447416
Sample13	0.10623186477186264	0.08137610026440521	0.7906313471319936	0.02176068783173849
Sample14	0.11987981532979518	0.03875039500072708	0.8120729154730585	0.029296874196419284
Sample15	0.07229716855537253	0.09816682760948224	0.7958761017906667	0.03365990204447864
Sample16	0.08964442134150279	0.08090396766320654	0.8216596490274766	0.007791961967814171
Sample17	0.06893450104389076	0.06742841969206212	0.8348465831950809	0.028790496068966297
Sample18	0.0953945646299792	0.06970405192634861	0.8047492422861177	0.030152141157554546
Sample19	0.1578613471452182	0.0615507419320085	0.7672598635690108	0.013328047353762373
Sample20	0.07130024241014515	0.06249377389524193	0.8408368287059487	0.02536915498866437
Sample21	0.12718511887816442	0.031692018927230434	0.8221539509012045	0.018968911293400743
Sample22	0.0682217369749677	0.09888096179772753	0.8089570872220252	0.023940214005279705
Sample23	0.12123641222654184	0.06894737430949524	0.7949435722452599	0.014872641218702909
Sample24	0.06924231663091139	0.07902765447143456	0.844796303562156	0.006933725335498053
Sample25	0.06353689935003362	0.10496849418934744	0.7929191114358115	0.03857549502480751
Sample26	0.08242636634115413	0.10214184034854855	0.7932837776702483	0.022148015640049052
Sample27	0.08665609717965866	0.11112961357360987	0.7946819909918562	0.007532298254875401
Sample28	0.09342400787680655	0.08355015425538241	0.823025837867811	0.0
Sample29	0.13432461953102512	0.054538358915075455	0.7967951424165792	0.014341879137320261
Sample30	0.16221850816962874	0.02509533370923594	0.7885023229850326	0.02418383513610267
Sample31	0.08380785571008101	0.0834181850523104	0.8257010644824404	0.0070728947551680285
Sample32	0.1015695202563389	0.05382177370388533	0.8147828827150531	0.029825823324722753
Sample33	0.13149259830124052	0.07004454059966622	0.7775017069064684	0.020961154192624874
Sample34	0.08052970430425319	0.09570248171979885	0.8142052280756048	0.009562585900343135
Sample35	0.10703859847032567	0.05439363833445923	0.8098311365489853	0.028736626646229693
Sample36	0.10567582855833628	0.07323713621844348	0.7937899546666674	0.027297080556552875
Sample37	0.06986587191100825	0.06849606911127619	0.8288501318250338	0.032787927152681764
Sample38	0.06463153929977807	0.0969550429886897	0.8384134177115322	0.0
Sample39	0.06755165584442263	0.09018973750712224	0.8376273674898066	0.004631239158648393
Sample40	0.08368125516230007	0.043626023900601614	0.836976229513912	0.03571649142318618
Sample41	0.0674880780236259	0.06304243650901532	0.8690573035964514	0.00041218187090736957
Sample42	0.08432572029020484	0.05813081487586176	0.8244866503096697	0.03305681452426365
Sample43	0.09084862319309091	0.11465369180909407	0.7811379023090185	0.013359782688796597
Sample44	0.15352675810074434	0.05129534810352735	0.7700837995016032	0.025094094294125045
Sample45	0.0888709536951924	0.08397107749389095	0.7981390496858506	0.029018919125066038
Sample46	0.11571390723661551	0.04629795600322784	0.8302368424986732	0.00775129426148347
Sample47	0.05906453885910289	0.05120586811684218	0.8582964912028213	0.031433101821233524
Sample48	0.08303857368495388	0.08837294181453205	0.7880877885288602	0.04050069597165394
Sample49	0.06315334601951647	0.06322968786522987	0.858017496341484	0.015599469773769584
Sample50	0.10411214770772681	0.07249978242273918	0.7873532869590376	0.03603478291049648
Sample51	0.08749220026171768	0.07885318659151128	0.7971011321073888	0.03655348103938218
Sample52	0.11026672287543214	0.04860180872142319	0.8053021810160269	0.03582928738711779
Sample53	0.09580879828670112	0.06365098801853805	0.8338875078741187	0.006652705820642065
Sample54	0.09880822657239952	0.07623665494838028	0.8009959593743904	0.023959159104829944
Sample55	0.11477546653213708	0.07737600858163454	0.7815783836023918	0.026270141283836552
Sample56	0.12436378542585076	0.09943234495327527	0.7696441591528698	0.006559710468004309
Sample57	0.1309294375141552	0.037196236512815076	0.7926281747574395	0.03924615121559029
Sample58	0.06805395397936333	0.08757509495165161	0.8218979798240558	0.022472971244929297
Sample59	0.07575011299254136	0.050745023763790455	0.8501103837826053	0.023394479461062954
Sample60	0.062362270486934324	0.12916773171364437	0.800455563604077	0.008014434195344474
Sample61	0.07992838253460506	0.07884562603563225	0.8236856156737632	0.017540375755999503
Sample62	0.10603242652499419	0.03446663836219814	0.8266051423123549	0.03289579280045286
Sample63	0.11284886706583393	0.0766841853962944	0.7881211020907365	0.02234584544713507
Sample64	0.12141062540162786	0.036442699931095834	0.8124523088097879	0.029694365857488435
Sample65	0.19807018384327	0.06192780855866743	0.7278035495172058	0.012198458080856673
Sample66	0.1137124721630277	0.052696440496568214	0.8167962693007064	0.01679481803969782
Sample67	0.09161514090781174	0.09280389627984975	0.8155809628123385	0.0
Sample68	0.07699783547183356	0.07100316312686807	0.8431367638529215	0.00886223754837709
Sample69	0.0761217156524785	0.07213713138034107	0.8241989841646018	0.02754216880257873
Sample70	0.059207714749373586	0.07982487845496158	0.8158145348652639	0.04515287193040087
Sample71	0.0933619380940976	0.09567114559256806	0.78242699540348	0.028539920909854254
Sample72	0.13572186135670308	0.06991105712371597	0.7686836076522067	0.025683473867374233
Sample73	0.04503149672731057	0.12189264537819004	0.8226027093361837	0.010473148558315569
Sample74	0.07354966408070959	0.09178209715713005	0.8261082480763222	0.008559990685838001
Sample75	0.09887269804158658	0.11379855009318356	0.7649881056728527	0.022340646192377196
Sample76	0.10907696557070087	0.06526549020592237	0.7932363731073053	0.03242117111607138
Sample77	0.11836177056797217	0.08195545466662281	0.7803798737619688	0.019302901003436276
Sample78	0.06305474436727214	0.08518705095489713	0.833199089919411	0.01855911475841975
Sample79	0.06763783570289532	0.09456599208053565	0.8108957060177696	0.02690046619879948
Sample80	0.09798282195714456	0.06269046390792601	0.8053374780988112	0.03398923603611809
Sample81	0.07917775059264373	0.06079699540121247	0.8505192020839845	0.009506051922159208
Sample82	0.06673617097796303	0.07340746085058796	0.850645810110115	0.009210558061334018
Sample83	0.10152420168298955	0.058883102986805956	0.8071318889040895	0.032460806426115034
Sample84	0.10813379846432723	0.05922187008089343	0.8296007977160665	0.003043533738712812
Sample85	0.12349667921259164	0.0658441467211617	0.8106591740662468	0.0
Sample86	0.12496261087316131	0.03830420558451048	0.8357810100759024	0.0009521734664258629
Sample87	0.05665053147153471	0.06371001342516422	0.82992909718682	0.04971035791648107
Sample88	0.10248115677767604	0.06106662481169323	0.834584680155975	0.0018675382546556377
Sample89	0.1021027185921297	0.05607650544558728	0.8042822708275483	0.037538505134734654
Sample90	0.10035876191949601	0.0702838141228708	0.8230138704346391	0.006343553522994035
Sample91	0.08586038601824318	0.07619376094694776	0.8370341583732915	0.0009116946615175535
Sample92	0.08498670628015104	0.08051053059402642	0.8317347068475421	0.0027680562782804
